State,1990,2000,2005 ,2005 parenthesis,2010,2010 parenthesis,2015,2015 parenthesis,2016,2016 parenthesis,2017,2017 parenthesis,2018,2018 parenthesis,2019,2019 parenthesis,2021,2021 parenthesis
Indiana ,"60,900","67,800","61,200",(430),"55,600",(340),"57,800",(270),"59,100",(250),"59,900",(440),"60,100",(340),"61,000",(440),"62,700",(440)
Iowa,"55,500","64,400","60,600",(440),"59,700",(490),"62,600",(550),"63,500",(480),"64,700",(570),"64,700",(580),"65,400",(480),"65,600",(470)
Kansas,"57,700","66,300","59,700",(620),"60,100",(660),"61,600",(610),"62,000",(610),"62,400",(470),"62,800",(510),"65,800",(450),"64,100",(580)
Kentucky ,"47,700","54,900","52,000",(400),"49,900",(380),"51,700",(330),"52,700",(410),"53,500",(420),"54,200",(370),"55,400",(400),"55,600",(430)
Louisiana ,"46,400","53,100","51,100",(490),"52,900",(540),"52,300",(470),"51,000",(530),"51,000",(430),"51,700",(490),"54,100",(380),"52,100",(460)
Maine,"58,900","60,700","59,500",(820),"57,100",(720),"58,900",(590),"59,900",(950),"62,200",(780),"60,000",(870),"62,400","(1,130)","64,800",(760)
Maryland ,"83,300","86,200","85,700",(500),"85,700",(700),"86,700",(410),"89,100",(510),"89,300",(480),"89,800",(670),"91,900",(600),"90,200",(650)
Massachusetts,"78,200","82,400","79,500",(590),"77,300",(310),"80,800",(430),"85,000",(530),"85,500",(610),"86,100",(640),"91,000",(640),"89,600",(780)
Michigan,"65,600","72,900","64,000",(380),"56,600",(230),"58,400",(170),"59,300",(280),"60,700",(300),"61,200",(270),"63,100",(370),"63,500",(320)
Minnesota,"65,400","76,800","72,400",(310),"69,100",(350),"72,600",(470),"74,100",(420),"75,600",(440),"75,900",(350),"79,100",(530),"77,700",(560)
Mississippi,"42,600","51,100","45,800",(520),"45,900",(480),"46,400",(380),"47,100",(380),"48,100",(570),"48,200",(520),"48,500",(760),"48,700",(760)
Missouri ,"55,800","61,900","58,400",(300),"55,200",(380),"57,500",(290),"58,400",(260),"59,300",(420),"58,800",(490),"60,800",(410),"61,800",(410)
Montana,"48,600","53,900","54,700",(820),"53,100",(860),"56,600",(980),"56,500",(750),"59,000",(960),"59,700",(770),"60,600",(780),"63,200",(870)
Nebraska ,"55,000","64,000","61,000",(640),"60,300",(680),"62,900",(580),"64,300",(530),"66,300",(680),"64,300",(700),"67,000",(600),"66,800",(640)
